ingredient,primary,secondary,tertiary,quaternary
Alocasia Fruit,Regenerate Stamina,Light,Ravage Magicka,Regenerate Health
Ambrosia,Restore Health,Regenerate Health,Fortify Health,Cure Poison
Angelfish,Regenerate Health,Resist Fire,Fortify Marksman,Waterbreathing
Angler Larvae,Lingering Damage Health,Regenerate Stamina,Waterbreathing,Fortify Two-Handed
Aster Bloom Core,Resist Magic,Fortify Light Armor,Fortify Block,Paralysis
Bittergreen Petals,Lingering Damage Stamina,Invisibility,Cure Poison,Damage Magicka
Blind Watcher's Eye,Light,Fortify Magicka,Fortify Alteration,Spell Absorption
Bliss Bug Thorax,Weakness to Fire,Resist Fire,Fortify Heavy Armor,Fortify Illusion
Blister Pod Cap,Restore Magicka,Fortify Magicka,Night Eye,Invisibility
Bloodgrass,Invisibility,Resist Poison,Slow,Fortify Health
Bog Beacon,Restore Magicka,Fortify Heavy Armor,Fear,Damage Stamina
Bungler's Bane,Slow,Ravage Stamina,Damage Stamina Regen,Resist Magic
Chokeberry,Damage Health,Ravage Health,Lingering Damage Health,Weakness to Poison
Chokeweed,Weakness to Frost,Restore Stamina,Cure Disease,Damage Magicka
Coda Flower,Damage Health,Lingering Damage Stamina,Ravage Magicka,Fortify Carry Weight
Comberry,Damage Stamina,Spell Absorption,Restore Magicka,Fortify Destruction
Congealed Putrescence,Ravage Health,Restore Magicka,Weakness to Fire,Fortify Conjuration
Corkbulb Root,Paralysis,Restore Health,Resist Shock,Fortify Marksman
Corrupted Human Heart,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Daedra Silk,Lingering Damage Stamina,Paralysis,Night Eye,Invisibility
Daedra Venin,Ravage Health,Paralysis,Fortify Destruction,Spell Absorption
Daedroth Teeth,Resist Frost,Light,Damage Magicka Regen,Regenerate Stamina
Dreugh Wax,Weakness to Magic,Frenzy,Fortify Enchanting,Fortify Smithing
Elytra Ichor,Restore Magicka,Invisibility,Slow,Fear
Fire Petal,Damage Health,Resist Fire,Spell Absorption,Paralysis
